scenario,strategy,replication,pad_id,utilization,sessions,wait_min,input_kwh,delivered_kwh
v3_primary_challenge,C1,1007,1,50.31581488661372,14,104.02905345358752,36.227386718361885,28.11670602692513
v3_primary_challenge,C2,1007,1,68.54423211924396,779,209.77892947231462,49.351847125855606,33.371747913152205
v3_primary_challenge,C3,1007,1,62.42975160066797,1257,763.7075779870521,44.94942115248101,37.495122693591995
v3_primary_challenge,C4,1007,1,66.05718847052215,1141,717.9438966860424,47.56117569877601,36.008206026925286
v3_primary_challenge,C5,1007,1,63.4753339060399,1231,659.8604092832221,45.70224041234879,37.46642824914754
v3_primary_challenge,C1,1008,1,42.23008616945871,12,72.19857913114453,30.40566204201027,24.108708917965494
v3_primary_challenge,C2,1008,1,49.65231386706031,1185,2.3684757858670006e-16,35.749665984283446,29.40360599635483
v3_primary_challenge,C3,1008,1,41.135882270380556,1463,2.3684757858670006e-16,29.61783523467414,23.508821382448474
v3_primary_challenge,C4,1008,1,41.135882270380556,1463,1.1842378929335003e-16,29.617835234674136,23.96003846334321
v3_primary_challenge,C5,1008,1,41.09035328314006,1460,1.1842378929335003e-16,29.585054363860984,23.884982524653445
v3_primary_challenge,C1,1009,1,55.072616348183445,15,201.32980483443868,39.65228377069208,30.148979184834083
v3_primary_challenge,C2,1009,1,54.02089353433765,1142,9.452459088973047,38.89504334472311,33.00748719942825
v3_primary_challenge,C3,1009,1,41.73027441027001,1458,0.0,30.045797575394563,24.251683393981956
v3_primary_challenge,C4,1009,1,62.853057642719,1401,193.4502889745784,45.25420150275782,33.71869556394983
v3_primary_challenge,C5,1009,1,47.82014449491142,1457,0.0,34.43050403633637,27.928562177098982
v3_primary_challenge,C1,1010,1,53.19508213363508,13,313.52880081115694,38.30045913621726,26.112415352536054
v3_primary_challenge,C2,1010,1,60.539376676801126,1379,259.80111690233605,43.58835120729691,31.865077754460327
v3_primary_challenge,C3,1010,1,41.10116978554675,1515,0.0,29.592842245593783,23.80606669623078
v3_primary_challenge,C4,1010,1,41.10116978554675,1515,1.1842378929335003e-16,29.592842245593783,24.067512435027467
v3_primary_challenge,C5,1010,1,41.037667664177505,1512,1.1842378929335003e-16,29.547120718207918,23.90514344599949
v3_primary_challenge,C1,1011,1,57.14072344534343,15,432.6411107007764,41.141320880647264,30.146267378699644
v3_primary_challenge,C2,1011,1,53.240464162031174,936,134.33903570167496,38.33313419666243,32.2470058906125
v3_primary_challenge,C3,1011,1,60.09663767401465,1135,718.4172017968355,43.26957912529064,35.83773960092201
v3_primary_challenge,C4,1011,1,50.15401889969422,743,306.2055297101845,36.110893607779886,29.539934045366373
v3_primary_challenge,C5,1011,1,60.976927912063125,1098,590.1286943249208,43.903388096685546,35.72615626758868
v3_primary_challenge,C1,1012,1,48.48965354152865,14,128.13842627992042,34.91255054990062,28.150481759097488
v3_primary_challenge,C2,1012,1,70.5187631112428,1228,447.08436920893536,50.77350944009493,36.85325953687547
v3_primary_challenge,C3,1012,1,39.83461265149875,1459,1.1842378929335003e-16,28.68092110907924,22.964482242585202
v3_primary_challenge,C4,1012,1,45.16206721725421,1457,1.1842378929335003e-16,32.51668839642318,26.79410213221909
v3_primary_challenge,C5,1012,1,46.63686539069808,1456,1.1842378929335003e-16,33.578543081302755,26.66266942793289
v3_primary_challenge,C1,1013,1,46.07063471625819,14,102.19346806881119,33.1708569957059,28.143001253275106
v3_primary_challenge,C2,1013,1,58.65603987235265,1295,265.09719679354845,42.23234870809398,34.91912856443235
v3_primary_challenge,C3,1013,1,40.4446038531891,1447,5.921189464667501e-17,29.120114774296262,23.349714573884864
v3_primary_challenge,C4,1013,1,40.4446038531891,1447,5.921189464667501e-17,29.120114774296262,23.656191544506466
v3_primary_challenge,C5,1013,1,40.4446038531891,1447,5.921189464667501e-17,29.12011477429626,23.550843096385908
v3_primary_challenge,C1,1014,1,48.85769767480164,14,205.6560043030758,35.17754232585718,28.1480017824373
v3_primary_challenge,C2,1014,1,52.95641419759083,915,0.0,38.12861822226535,31.72643059967434
v3_primary_challenge,C3,1014,1,68.66836428025795,1285,1095.344391797284,49.4412222817858,37.522307337993006
v3_primary_challenge,C4,1014,1,66.68461522341224,1097,974.2829789287629,48.01292296085687,34.72139067132632
v3_primary_challenge,C5,1014,1,57.228202989839026,1074,533.4169539066311,41.204306152684154,34.40550178243745
v3_primary_challenge,C1,1015,1,59.69459284277755,15,311.7917286664671,42.98010684679984,30.15856010143755
v3_primary_challenge,C2,1015,1,50.236378888303214,964,110.10972780895244,36.17019279957825,30.098220673743338
v3_primary_challenge,C3,1015,1,53.0572309853024,935,756.3709176615539,38.2012063094178,32.13564343477101
v3_primary_challenge,C4,1015,1,50.37718958568148,871,549.8817799948699,36.27157650169071,31.359837879215455
v3_primary_challenge,C5,1015,1,52.55708778542113,881,669.7067349535598,37.84110320550326,31.31081010143766
v3_primary_challenge,C1,1016,1,51.9173832603468,15,352.14172386294894,37.38051594744969,30.16367102146204
v3_primary_challenge,C2,1016,1,53.065235044080815,1438,70.84186504405224,38.206969231738334,30.103755554620307
v3_primary_challenge,C3,1016,1,41.35317064666575,1485,0.0,29.774282865599506,24.00757881613776
v3_primary_challenge,C4,1016,1,53.779084590181334,1447,77.6287192035607,38.720940904930714,30.491858845007922
v3_primary_challenge,C5,1016,1,41.35317064666575,1485,0.0,29.774282865599506,23.903797649180767
v3_primary_challenge,C1,1017,1,47.408793205928475,12,144.56980921667406,34.134331108268505,24.101248690146598
v3_primary_challenge,C2,1017,1,61.35653085672907,1252,151.06313793681232,44.176702216844944,34.04423241781797
v3_primary_challenge,C3,1017,1,41.82625545056813,1516,0.0,30.11490392440916,24.111812035021902
v3_primary_challenge,C4,1017,1,41.82625545056813,1516,0.0,30.11490392440916,24.36684230398434
v3_primary_challenge,C5,1017,1,41.82625545056813,1516,0.0,30.11490392440916,24.096123737821443
v3_primary_challenge,C1,1018,1,48.80200977614727,14,246.0294343689869,35.13744703882604,28.135854246646186
v3_primary_challenge,C2,1018,1,72.98292275055397,1161,523.5895681733429,52.547704380398926,36.19350663506752
v3_primary_challenge,C3,1018,1,66.23234580152743,1379,843.7098961934685,47.687288977099826,38.94465980220194
v3_primary_challenge,C4,1018,1,60.09823172269757,1209,306.0250170747361,43.27072684034232,36.73060424664634
v3_primary_challenge,C5,1018,1,73.29142121967644,1270,933.6577699911645,52.769823278167095,37.55579869109082
v3_primary_challenge,C1,1019,1,52.47231624467956,15,217.05526268584734,37.78006769616929,30.14229324310842
v3_primary_challenge,C2,1019,1,59.2590293638526,1048,80.26900661431621,42.666501141973946,34.341487687553
v3_primary_challenge,C3,1019,1,66.31735320502636,1361,842.5774325280671,47.74849430761912,39.31404324310865
v3_primary_challenge,C4,1019,1,66.22318487681683,1332,568.0650125403151,47.680693111308244,39.27804324310862
v3_primary_challenge,C5,1019,1,61.366379787651816,1222,354.80115602268995,44.18379344710941,37.223348798664155
v3_primary_challenge,C1,1020,1,56.14306199749559,15,252.8468375028935,40.42300463819682,30.13295848673631
v3_primary_challenge,C2,1020,1,52.19291067923933,1103,37.17245773265761,37.578895689052274,31.037390574914017
v3_primary_challenge,C3,1020,1,67.60382570570815,1424,812.7380939491874,48.67475450810995,39.929708486736516
v3_primary_challenge,C4,1020,1,73.20082679204847,1360,695.2731010524745,52.70459529027499,39.331097375625404
v3_primary_challenge,C5,1020,1,64.07253495466318,1347,583.738690778915,46.132225167357575,38.85262515340318
v3_primary_challenge,C1,1021,1,48.11831655643498,14,212.67104254149325,34.64518792063319,28.107482640664674
v3_primary_challenge,C2,1021,1,57.545120168942134,1202,9.969302906122055,41.43248652163826,30.626107050779545
v3_primary_challenge,C3,1021,1,44.256347093497155,1542,0.0,31.864569907318064,25.581892123651016
v3_primary_challenge,C4,1021,1,44.25634709349716,1542,0.0,31.864569907318064,25.724756233661928
v3_primary_challenge,C5,1021,1,44.256347093497155,1542,0.0,31.864569907318064,25.70329334636983
v3_primary_challenge,C1,1022,1,46.54270629866214,13,102.7359096204115,33.51074853503674,26.095934103547457
v3_primary_challenge,C2,1022,1,57.44157208796554,932,132.5504456467364,41.35793190333523,32.824173082692546
v3_primary_challenge,C3,1022,1,41.245116539378394,1428,0.0,29.69648390835255,24.018119248956495
v3_primary_challenge,C4,1022,1,41.245116539378394,1428,0.0,29.696483908352548,24.396236250620728
v3_primary_challenge,C5,1022,1,41.245116539378394,1428,0.0,29.69648390835255,24.116905185640938
v3_primary_challenge,C1,1023,1,39.475560482554464,11,278.78329145612645,28.42240354743921,22.106901239144822
v3_primary_challenge,C2,1023,1,49.926756791837605,1362,0.0,35.947264890123165,29.885902722638065
v3_primary_challenge,C3,1023,1,42.46598714125937,1465,0.0,30.575510741706864,24.75854321063524
v3_primary_challenge,C4,1023,1,42.46598714125937,1465,0.0,30.575510741706864,25.054854670484367
v3_primary_challenge,C5,1023,1,42.46598714125937,1465,0.0,30.575510741706864,24.78067404819624
v3_primary_challenge,C1,1024,1,42.92299690018358,13,145.6540539310417,30.904557768132182,26.125337288314984
v3_primary_challenge,C2,1024,1,43.27677343815431,1537,0.0,31.15927687547123,25.115044173660703
v3_primary_challenge,C3,1024,1,43.27677343815431,1537,0.0,31.159276875471228,24.899439724701946
v3_primary_challenge,C4,1024,1,43.27677343815431,1537,0.0,31.15927687547123,25.387862072097352
v3_primary_challenge,C5,1024,1,43.26035323026454,1536,0.0,31.147454325790594,25.262712540310527
v3_primary_challenge,C1,1025,1,54.64580572825965,15,401.1006423623888,39.34498012434695,30.156219919532425
v3_primary_challenge,C2,1025,1,52.90995163244471,1251,16.971746669788264,38.09516517536008,31.102195591909293
v3_primary_challenge,C3,1025,1,42.90087240683318,1506,0.0,30.88862813291998,24.918953394126245
v3_primary_challenge,C4,1025,1,48.247746988619056,1506,0.0,34.73837783180581,28.474899312938646
v3_primary_challenge,C5,1025,1,42.90087240683318,1506,0.0,30.88862813291998,24.688220287313534
v3_primary_challenge,C1,1026,1,49.12623326645822,14,175.39109334166272,35.37088795184993,28.153807064921203
v3_primary_challenge,C2,1026,1,69.64854002187762,1159,348.0832868820568,50.14694881575197,36.664084842699154
v3_primary_challenge,C3,1026,1,43.64281868539417,1518,4.736951571734001e-16,31.422829453483924,25.044222433543393
v3_primary_challenge,C4,1026,1,43.64281868539417,1518,4.736951571734001e-16,31.422829453483924,25.271626806839453
v3_primary_challenge,C5,1026,1,43.64281868539417,1518,4.736951571734001e-16,31.422829453483924,25.174660308773255
v3_primary_challenge,C1,1027,1,46.835139795053045,14,96.83131014841007,33.721300652438195,28.12401519977836
v3_primary_challenge,C2,1027,1,56.236753138736226,1054,100.85156173336836,40.490462259890116,33.9395985331118
v3_primary_challenge,C3,1027,1,40.17389071772272,1453,0.0,28.92520131676046,23.132177181734
v3_primary_challenge,C4,1027,1,76.44321992302497,1417,829.481521829418,55.03911834457807,40.080515199778596
v3_primary_challenge,C5,1027,1,61.66704889498965,1428,315.4771902625694,44.40027520439265,37.0354905004822
v3_primary_challenge,C1,1028,1,47.70702070939359,13,98.66622659784849,34.349054910763385,26.100535079619274
v3_primary_challenge,C2,1028,1,51.46589324505102,1211,0.0,37.055443136436786,30.189833709604724
v3_primary_challenge,C3,1028,1,42.57362394418169,1493,0.0,30.653009239810913,24.70658197743735
v3_primary_challenge,C4,1028,1,42.57362394418168,1493,0.0,30.653009239810913,24.71127589519255
v3_primary_challenge,C5,1028,1,42.57362394418169,1493,0.0,30.653009239810913,24.7553080113207
v3_primary_challenge,C1,1029,1,59.264523862968076,15,244.94874897730904,42.67045718133703,30.119253153969225
v3_primary_challenge,C2,1029,1,57.40720469284219,834,401.2629685920548,41.33318737884642,30.482697598413747
v3_primary_challenge,C3,1029,1,66.04919040493719,1332,807.8489921374162,47.55541709155486,38.49664204285832
v3_primary_challenge,C4,1029,1,67.60039943883494,1193,810.5640320038074,48.672287595961215,36.20805870952497
v3_primary_challenge,C5,1029,1,60.406367119851446,1231,552.784271334084,43.492584326293105,36.741253153969424
v3_primary_challenge,C1,1030,1,55.829245913252265,14,56.65757225759638,40.197057057541635,28.13779293940235
v3_primary_challenge,C2,1030,1,54.97035595421696,1136,28.629439403209712,39.57865628703627,32.70239021544756
v3_primary_challenge,C3,1030,1,38.82467335376446,1383,0.0,27.953764814710507,22.52400097803784
v3_primary_challenge,C4,1030,1,61.16737020554714,1317,318.4862917447334,44.04050654799402,35.761823104463964
v3_primary_challenge,C5,1030,1,61.64350972762761,1341,351.4957145369364,44.38332700389196,36.111781634140314
v3_primary_challenge,C1,1031,1,44.88881060331677,12,222.17611421043827,32.31994363438808,24.123245311603306
v3_primary_challenge,C2,1031,1,60.15040052982297,886,268.48147074227114,43.30828838147254,31.863011903148006
v3_primary_challenge,C3,1031,1,41.797413560789195,1438,0.0,30.094137763768327,24.013533527726743
